Aug 29, 2024 - 09:12:14 || INFO || New Client Connected to This id : jXXYZYACYfQHiezuAAAB || fastapiweb.py ||71
Aug 29, 2024 - 09:12:17 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:12:17 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:12:17 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:12:29 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:12:29 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:12:29 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:12:53 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:12:53 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:12:53 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:14:02 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:14:02 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:14:02 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:18:18 || INFO || Client disconnected:  jXXYZYACYfQHiezuAAAB || fastapiweb.py ||79
Aug 29, 2024 - 09:18:25 || INFO || FastAPI started || fastapiweb.py ||173
Aug 29, 2024 - 09:18:26 || INFO || New Client Connected to This id : T80BLqICE1B1XAYoAAAB || fastapiweb.py ||71
Aug 29, 2024 - 09:18:26 || INFO || Client disconnected:  T80BLqICE1B1XAYoAAAB || fastapiweb.py ||79
Aug 29, 2024 - 09:18:26 || INFO || New Client Connected to This id : 4kEco0VRxlavVIYhAAAD || fastapiweb.py ||71
Aug 29, 2024 - 09:18:27 || INFO || Client disconnected:  4kEco0VRxlavVIYhAAAD || fastapiweb.py ||79
Aug 29, 2024 - 09:18:27 || INFO || New Client Connected to This id : 4lGGGtOVCZN14uixAAAF || fastapiweb.py ||71
Aug 29, 2024 - 09:18:29 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:18:29 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:18:29 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:18:42 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:18:42 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:18:42 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:18:46 || INFO || Client disconnected:  4lGGGtOVCZN14uixAAAF || fastapiweb.py ||79
Aug 29, 2024 - 09:19:14 || INFO || FastAPI started || fastapiweb.py ||173
Aug 29, 2024 - 09:19:19 || INFO || New Client Connected to This id : FM3gufGIT9tk0c_NAAAB || fastapiweb.py ||71
Aug 29, 2024 - 09:19:21 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:19:21 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:19:21 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:19:29 || INFO || Client disconnected:  FM3gufGIT9tk0c_NAAAB || fastapiweb.py ||79
Aug 29, 2024 - 09:19:46 || INFO || FastAPI started || fastapiweb.py ||173
Aug 29, 2024 - 09:19:47 || INFO || New Client Connected to This id : dIIMkxiox6tej1-UAAAB || fastapiweb.py ||71
Aug 29, 2024 - 09:19:49 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:19:49 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:19:49 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:21:16 || INFO || Client disconnected:  dIIMkxiox6tej1-UAAAB || fastapiweb.py ||79
Aug 29, 2024 - 09:21:21 || INFO || FastAPI started || fastapiweb.py ||173
Aug 29, 2024 - 09:21:23 || INFO || New Client Connected to This id : aWisJY47yp9MjPYPAAAB || fastapiweb.py ||71
Aug 29, 2024 - 09:21:25 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:21:25 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:21:25 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:24:29 || INFO || Client disconnected:  aWisJY47yp9MjPYPAAAB || fastapiweb.py ||79
Aug 29, 2024 - 09:24:38 || INFO || FastAPI started || fastapiweb.py ||173
Aug 29, 2024 - 09:24:39 || INFO || New Client Connected to This id : wG6zS062o178b794AAAB || fastapiweb.py ||71
Aug 29, 2024 - 09:24:44 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:24:44 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:24:44 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:24:50 || INFO || Client disconnected:  wG6zS062o178b794AAAB || fastapiweb.py ||79
Aug 29, 2024 - 09:24:50 || INFO || New Client Connected to This id : 1kqfHWrwFATyaav1AAAD || fastapiweb.py ||71
Aug 29, 2024 - 09:24:51 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:24:51 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:24:51 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:25:00 || INFO || Client disconnected:  1kqfHWrwFATyaav1AAAD || fastapiweb.py ||79
Aug 29, 2024 - 09:25:01 || INFO || New Client Connected to This id : BGgWKq3038qVwymOAAAF || fastapiweb.py ||71
Aug 29, 2024 - 09:25:02 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:25:02 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:25:02 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:25:07 || INFO || Client disconnected:  BGgWKq3038qVwymOAAAF || fastapiweb.py ||79
Aug 29, 2024 - 09:25:13 || INFO || FastAPI started || fastapiweb.py ||173
Aug 29, 2024 - 09:25:15 || INFO || New Client Connected to This id : SWOgVGWqP6VNbEARAAAB || fastapiweb.py ||71
Aug 29, 2024 - 09:25:17 || INFO || Received SDP offer || fastapiweb.py ||97
Aug 29, 2024 - 09:25:17 || INFO || Track received video || fastapiweb.py ||102
Aug 29, 2024 - 09:25:17 || INFO || Track added to PC || fastapiweb.py ||106
Aug 29, 2024 - 09:30:46 || INFO || Client disconnected:  SWOgVGWqP6VNbEARAAAB || fastapiweb.py ||79
Aug 29, 2024 - 09:30:52 || INFO || FastAPI started || fastapiweb.py ||173
Aug 29, 2024 - 09:30:55 || INFO || New Client Connected to This id : PBGEF1mMUkDKPqbeAAAB || fastapiweb.py ||71
